"","Text"
"280210","02:53:51 Corbin Livingston: So here is the jist of of what's been happening. Wife got a new job that makes a lot more than what she was. My friend is looking to sell her house and she  wants to sell it to us. I like the house, the location, and the design. We've gone to look at the house a few times and it is very nice.
"
"281247","02:17:42 Hailey Gordon: The location says widener AR can you change that to lepanto AR?"
"282198","01:29:13 Todd Ignarski: sadly, I am getting a divorce and needing to change locations
"
"283163","00:51:21 Joseph Parker: Okay, great. Do I need to update the location I am looking into or can she do that ?
"
"284487","00:05:43 Ashley: I work for a bank in the mortgage department. lol I am currently transferring to a new position within the bank to a different location."
"284537","23:59:05 Natalie Fonseca Licciardi: i work from home so can work in any location, and am keeping my job
"
"286664","23:13:04 Jennifer Frescura: all over battle creek. not one specific locations. my father has been sending me links to houses he has come across"
"286741","23:13:04 Jennifer Frescura: all over battle creek. not one specific locations. my father has been sending me links to houses he has come across"
"288160","22:17:55 You: The location of the closing show to be my house"
"288164","22:21:37 You: okay so was the location being my home is not correct, right?
"
"291607","20:52:01 juanita baker: Locations, square feet  and affordability
"
"292050","21:01:58 Bradley Van Houten: I live with 3 other people currently so we split rent of $2150, my share being $537.50. I have been at this location for over 2 years and was at another place before that for 2 years.  The year before that I was renting a place month to month as I was starting the new job.
"
"294183","19:52:24 You: I need to change my scheduled closing time and location please.  Wasn't aware the wife's plans for tomorrow."
"294582","19:54:20 Megan Cruse: location, bedrooms and baths, room for improvement, schools
"
"297590","18:45:36 Robey JEFFREYS: Prior to this location, I lived in Atlanta, GA. 20 Huntington Place Drive, Atlanta, GA 30350
"
"300250","18:17:31 You: Do you need Bank name and location?     Checking"
"300713","17:44:33 theodore kolaya: I like the location"
"301794","17:16:18 You: Hello, how can I change/edit the closing time and location?  I didn't know my wife had an appointment tomorrow?
"
"302606","16:55:04 John Noonan: I am having trouble finding the location to upload my financial documents"
"304704","16:18:27 Emily Thacker: but location is more important than type of home"
"306200","15:42:45 Elizabeth Marlborough: location"
"306424","15:42:45 Elizabeth Marlborough: location"
"306836","15:47:02 raymond bennett: no we will run the online store  whilst in florida till we find a new location"
"307240","15:22:14 Christine Valencia: at least 2 bedroom one bath if we can afford more great and if not we are comfortable with renovations down the road. we really want to be in West Islip NY so location is most important"
"309211","14:33:21 Rochelle Thacker: I have found one I really like in the right location."
"310837","13:46:32 You: also, can i really just choose a location for closing?
"
"313209","03:49:45 Kelsey Kerstetter: $12 an hour. According to the state of Maine website you have to have a very low income (which I qualify for) and I am in nursing school. Also you have to meet location requirements. It says zero down payment and I have talked to a coordinator briefly in the area and she said it is a zero down payment"
"314088","02:54:40 Kristin Paffrath: Location, it's out in the country. I'm just nervous about being able to get financed
"
"314939","02:15:04 Amber Verstl: I am looking in Stockton CA. I have a specific location in mind as of right now."
"315184","02:08:35 Ashley Boswell: It's very well taken care of and the location is perfect"
"315330","02:32:45 Lindsey Otto: the property and the location!"
"316396","01:33:29 Vikrant Raje: same company, same position... new location
"
"317521","00:48:46 Krista Henderson: With my work I would be able to transfer to a location close by, so my commute wouldnt matter as much as his. He has limited options since he is the Store Manager
"
"317652","00:47:34 James Sines: The house is just about to become available. He house is right next door to our house currently.  We just thought it may be great opportunity since the location is where we can keep an eye on everything"
"321515","22:37:18 Jimmie Volner: No set price or location as of yet"
"321919","22:32:38 Kayli Malenfant: It's location on Caribou Road in a town called Presque Isle."
"326211","20:28:36 Jose Olivares: I am just getting started. I don’t really have a location in mind. Possibly the dallas suburbs"
"327382","20:12:42 Bryan Hayes: Yes, but I work out of the Burlington location
"
"328980","19:23:56 Noel McElroy: Work and life location"
"329170","19:15:54 You: My husband is a police officer and is looking at another police officer job in the new location."
"329368","19:15:54 You: My husband is a police officer and is looking at another police officer job in the new location."
"333856","17:42:35 Todd Wilson: It's in a great location and its just the right size for my my family to grow in to."
"335161","17:15:23 Venkata Kothapalli: 313 Birdwood Court; Cary, NC 27519 - primary location
"
"336081","16:53:05 You: my office location is at 420 S Michigan Ave STE C, Greensburg, IN 47240
"
"337149","16:37:01 Christopher Schoppy: Prior to renting I was considering making a purchase, but wanted to move in first.  I am not sure if the owner is willing to sell yet, however, because this is a small townhome community there are other properties available at the same location that I may be interested in.
"
"337358","16:29:29 Richard Scheuermann: It’s in the city we currently live, convenient location, nice layout, and in the right price range
"
"337428","16:31:51 Craig Buckmaster: I'm currently renting a different location."
"337842","17:03:26 Rebecca: Well, I'm working for an agency right now, FlexRN, whom I've been with since 2007, but I pick up nursing shifts with them for extra money or when I'm between full-time jobs.  At my present location, I'm making $42/hr and picking up 2 or 3, usually 3, twelve hour shifts/week.
"
"339681","15:49:54 Nagib Kattan: U KNOW IT DEPENDS ON SIZE AND LOCATION BUT I USUALLY LOOK FOR SOMETHING SMALL TO START WITH...MAYBE BETWEEN $65 TO $85k"
"340387","15:43:22 You: Yes, we have a lot of land and a great location
"
"340619","15:43:22 You: Yes, we have a lot of land and a great location
"
"340753","15:25:04 DONALD HARRIS: I need a location wher i can speak to someone face to face"
"340891","15:25:04 DONALD HARRIS: I need a location wher i can speak to someone face to face"
"342869","14:35:13 Rosalva Cano: ok , it was in foreclosure then it was in an acution and last night was last day for last minute bidders. Then later I was emailed I was the winning bidder, Other lenders didn't want to help me due t them considering cash over financing offers. Reason I like this one in particular close to multiple locations in the area, work, school, doctors office etc. and its an area that has potential
"
"344811","13:44:06 David Shaw: we were just notified by our relalator that it just went on the market and seems to be what we are looking for size and location wise.  We have been looking at houses for a while in the area"
"344814","13:48:09 David Shaw: this will be our first offer.  We have liked a couple of others but not the locations.  We need easy access to airport for work.  It is 50 miles away so spending 20 minutes getting from other side of town doesn't pencil.  We are looking at something close to downtown but with quick access to I-25"
"344830","14:14:02 David Shaw: The address of our primary residence is 1346 N. 78th street in Seattle.  It has a second on it through KeyBank to buy my wife's car (and vacation to France).  The other residence is in Winthrop, Washington.  The address is 330 Twin Lakes Road (not a mailing address, just a location)
"
"346123","12:43:49 You: dose you records show that the location was Michigan 313-545-8612"
"347243","04:02:12 Sammie Hargrove: we likesD the location of the home....great opportunity"
"349549","02:15:04 Evan Murray: I am an engineer for the local power company. I plan on staying at my current location for several years because it is a great company to work for and there is a high demand for engineers. Right now, I am looking for a mortgage to buy my first home. I am looking for a house under $200k
"
"350448","02:02:58 Jonathan Quintuna: in preference I would like the house to be no less then 1500 sq feet and type : that does not matter and with location : I would like to buy in floral park , rosendale ny and elmont anywhere in that area
"
"350642","01:52:54 Edmund Kincaid: Business. I was just hired as the CFO. My employment agreement should have me hit $250K over the next 18 months. I’m moving here in Celina but our corporate location is in Columbus OH. Go Buckeyes"
"352846","00:52:47 Kim Kelley: Yes, because location will be a huge factor whether I go USDA, FHA, or whatever.
"
"356385","00:07:23 Juliana Lambertus: It’s the perfect investment as far as location and demand a couple years down the road"
"357021","23:13:32 Adam Carter: Property is selling fairly quick around here. The location we have found puts us closer to our customers. Right now we are paying rent for a remote site to run our business from with the property we have found we can save close to 1000 a month."
"357022","23:16:15 Adam Carter: We own a towing and recovery business. Currently we are 20 minutes from an expressway on ramp. The new location is around 5 minutes"
"358145","22:37:33 Daniel Thompson: We plan to downsize a bit.  Just moving 10-15 miles north of where we currently are living to be closer to work.  My company has changed locations in the past couple of years.  We are most likely looking for a one story home."
"363028","20:31:51 You: Just have a question about location where to chose my loan."
"363031","20:35:23 You: I can't provide the location until I have a date...is that ok?"
"365101","19:45:07 You: No, there isn't a place to click through. It just says ""Schedule Your Closing"" and under the View Description it tells me to respond to schedule the location, date and time
"
"365504","19:40:52 Chelsea Sprague: We are looking to puchase a home and this is a perfect location for us"
"369451","18:12:45 Vipin Bharathan: And the new place is a better location"
"369454","18:15:17 Vipin Bharathan: We are just putting this on the market, the other place is in a very desirable location so we expect that it will move very fast
"
"372663","17:19:15 You: yes.  Richard is on a mortgage with our daughter Shannon Collier.  Location Palm Bay FL.  That is why our house is for sale."
"372843","17:19:15 You: yes.  Richard is on a mortgage with our daughter Shannon Collier.  Location Palm Bay FL.  That is why our house is for sale."
"373009","16:50:25 You: can you tell me the location of the title company where we will sign the papers"
"374377","16:28:07 George Slater: I live 2 miles from the property i am desiring to secure financing for. My wife and I want a rental property and this potential location is very close for us to manage"
"374379","16:29:25 George Slater: This location fits into the business model we have proven in our geographic location in Hobart/Merrillville IN"
"374469","16:27:35 Bobby Brown: Location"
"374814","16:27:02 Gary Enright: Same employer, just different office location
"
"376086","15:57:59 You: but i forwarded to one location, and then recently moved
"
"377754","15:32:43 Eugene McCloud: yes, same employer, new position and location
"
"377795","16:04:43 Eugene McCloud: If I get qualified now, I have to settle for much less house than I want, and can afford, at my new location
"
"379522","14:52:01 Rosa: The location and it is smaller than where I presently live."
"379985","14:51:24 Chris Scofield: I work out of Sheffield Alabama location"
"381210","13:53:37 You: Ok...because the location could affect the time. I'm hoping it's at a location near us. Thanks, India.
"
"381506","13:50:12 You: I'm flex on time, but what are my choices for location?
"
"381515","13:47:01 Dustin Dwyer: My wife and I are just reasdy to get more serious about looking for a home and eventually start a family. We also moved to the other side of Fl so we like the location. Also, my credit and job has gotten better so I feel like it is something that can be done.
"
"387609","02:12:25 Manuel Torres: Size and location"
"389339","00:59:17 Christopher Lajoie: I currently own a two family property and am looking to purchase a second home in a different location"
"389380","01:44:11 Andrew Morris: the location"
"392098","00:00:17 Waqas: location"
"393756","00:12:29 hyeja beck: do you want my work's physical location or corporate? they own many facilities"
"395417","22:36:32 Jessica Galvan: the house is located at 34 s Couger road  rolling hills Wyoming 82637. this house is great for our family it has been 90% remolded  it has a 2.5 acers of land and it is in a great location for us we have gone and looked at the house and  we would love to get it"
"395833","22:21:20 You: i received an email about our closing date and time but the location is my address is someone coming to our home to close i was told we would be going to a title company?"
"396658","21:59:42 Joel Gossett: No, the house was a standard ranch built in 1975 and moved to current location in 1992
"
"406216","18:26:17 You: The closing location is not coming up under ""Closing""
"
"406217","18:27:49 You: ok thanks. Are there any locations in Conroe, TX?
"
"407547","18:02:14 Jasmine Kindelspire: Well I think it’s in an ideal location, the price seemed fair  and it had a greT view, I guess my goal would be to one day rent it out or sell it once enough equity was built up.
"
"407548","18:04:39 Jasmine Kindelspire: Correct, or longer. Just considering all my options. I would assume I would not want to stay there forever because it is a condo. The plus side is that  I work from home full time and Ihave the flexibility to move really anywhere - meaning I’m open to the location as well
"
"407550","18:06:51 Jasmine Kindelspire: I just moved to this area in january as a temporary location to save money, while paying off debt and other items.
"
"407625","17:59:39 Pamela McGahey: it meets USDA location"
"411877","16:42:58 PHILLIP CARROLL: My company is building a new Dealership soon and want to wait to see if I end up switching locations before picking an area to move to"
"411936","16:32:04 Jesus Esqueda: I am looking to get in contact with a family friend once we have settled our potential housing locations as he is a realtor."
"414371","15:49:47 Tyneequa Gonzalez: Anywhere preferably in Middlesex County. Not sure of exact location or price range."
"415057","15:37:55 You: Going to see if we could have him meet us at his location."
"419594","14:44:44 George Brown: Depending on acres location dont want niebours next door"
"420416","13:58:10 You: yes  I m at the same location my number 2143917624"
"421409","13:52:18 James Deere: Rent should be between 1,200 and 1,400 depending on location. won't collect SS benefits till 2021
"
"421423","13:32:36 Chelsea Walsh: It’s a nice 3-5 to bedroom.. it needs some work but my dads a carpenter so I have some to do the work and I like the location of it"
"421627","13:23:11 Alisha Rhodes: We have been very fortunate and have only had two locations. But we are planning on making our current area our new home. We really enjoy it here"
"422324","12:54:20 Chester Edney: It has character and good central location to where my wife and I work"
"423223","11:58:19 Elizabeth Beck: Yes. We are going to visit 5 houses in each town this week and then make a decision about the town we want to live in next week.  But the online system only allows us to enter one location, so I wasn't sure what to do about that
"
"423245","12:20:34 Elizabeth Beck: we're very split between which area we like better. We'll know for sure once we visit both areas this weekend, but we wanted to be able to put in an offer if we saw something perfect for us in either location. Is that possible?
"
"425844","02:28:44 Antoine Sfeir: Huntsville is a nice town. The property there sells quickly. It is ina  perfect location."
"426104","02:21:04 Ricky Michael: 4 years at some business and location"
"426736","02:14:19 Rolando Bradol: about 17 miles from my work location."
"427835","01:34:27 Nick Compton: In our area we are experiencing a mini eco boom where many families are experiencing income gains. Decent homes have become available since it is a sellers market and location is important to me so I wanted to be ready if that one property became available."
"427845","01:47:05 Nick Compton: Yes, it’s tough as I am holding out first for location.
"
"427998","01:48:22 Michael Whicker: The location is great, we are across from LCCC college and have great access to highway. The yard is large and the neighbor hood is higher end.
"
"429646","00:45:34 Todd Jalowiec: if I could get approved for the one I really like I wouldn’t think twice though. It’s a great house in a great location for the price"
"429799","00:53:35 Bryan Jacobs: similar unit sold for 385 and mine is in a better location so it's safe to assume I can get a little more because of that."
"431908","00:02:48 Ilya Terebey: 6 locations across New York State"
"432263","23:56:26 Balaji: from my office location"
"435608","22:49:40 Tyisha McClendon: Two bed/2 bath would be my minimum. I’m flexible with the location. There are a bunch of neighboring towns that offer different price ranges and amenities"
"435959","22:31:06 You: OK  Will they send location to message board or phone all.?"
"437593","22:04:29 shaun roberts: Yes I listed the property at spring market for 900k to test the waters, no home is not on farm or agri land just a very large property for the location, & not presently ongoing as they were just completed a month or 2 ago but yes I've put approx 100k into exterior Maint/upgrades & minor interior improvements to the existing bases of 3 of the 4 structures on the property
"
"437595","22:08:52 shaun roberts: Its a very unique property for the location"
"438007","21:58:33 Scott McMenimen: yea or condo in favorable location"
"440072","20:56:35 Bradford Weinstein: Looking for a larger home near our current location. Between clearwater and palm harbor florida"
"440115","20:54:12 You: My husband got an email today stating what escrow payments were made to our property location and  we noticed that the Home Insurance is not the correct company. It’s says payment was made to Allstate and it should be Travelers Ins. co."
"442101","20:37:05 David Sneed: But I have about 6k in a safe off location"
"442538","20:06:46 You: I was given a closing date of 8/14/18 (tomorrow) on our Closing Disclosure (dated 8/7/14) and wanted to confirm if this is the correct/finalized date to close. Also I wanted to confirm the time and location of the closing. I would prefer early morning or late afternoon closing if possible, but can schedule as needed.
"
"443285","20:02:13 Geoffrey Marlette: Yes, but try to restrict it to one hit from one location.
"
"444880","19:26:40 Michael Canning: Great location, great yard, close to our current neighborhood but with much more space.
"
"446462","18:58:17 You: Good Afternoon. This is Randy Rachels   I am waiting on a call for the location of the Closing for '"
"447727","19:02:58 You: for the square footage, acreage, and location, 285 feels like a good number
"
"447946","19:02:58 You: for the square footage, acreage, and location, 285 feels like a good number
"
"450950","18:02:50 Michael Head: Correct. We would give up that location, I wouldn't even bother sub lending, I would rather purchase and move out and someone else would move in
"
"451127","17:56:06 Clifford Scheidegger: I will not need gift money. My girlfriend and I have settlement that we should have by Sept/Oct from an accident. That and with my three incomes starting in Sept and her income, we will have that or more by Oct/Nov. I just wanted to make sure with my income I can get approved, then I know I can start looking at locations.
"
"451508","17:38:06 Cynthia Reese: The structure, the location the house and inside of home is eactly what I have been looking for.
"
"451937","17:26:45 Christopher Lee: I have been speaking with ""Milly"" 313-545-5822 I think at the Detroit location. We are facing foreclosure now.... The house is listed ""for sale by owner"" for last 100 days. We have two consideration for buyers... waiting to see will funding  go through.  Meanwhile, I am trying to recoup funds to make payment-my last draft didnt clear. The customers check bounced!!
"
"451967","18:27:53 Christopher Lee: maybe, because i have to drive more now.  Also, I have to get off soon. left office to a neutral location to reach. Got to get back!
"
"452159","17:26:45 Christopher Lee: I have been speaking with ""Milly"" 313-545-5822 I think at the Detroit location. We are facing foreclosure now.... The house is listed ""for sale by owner"" for last 100 days. We have two consideration for buyers... waiting to see will funding  go through.  Meanwhile, I am trying to recoup funds to make payment-my last draft didnt clear. The customers check bounced!!
"
"452189","18:27:53 Christopher Lee: maybe, because i have to drive more now.  Also, I have to get off soon. left office to a neutral location to reach. Got to get back!
"
"452295","17:26:45 Christopher Lee: I have been speaking with ""Milly"" 313-545-5822 I think at the Detroit location. We are facing foreclosure now.... The house is listed ""for sale by owner"" for last 100 days. We have two consideration for buyers... waiting to see will funding  go through.  Meanwhile, I am trying to recoup funds to make payment-my last draft didnt clear. The customers check bounced!!
"
"452325","18:27:53 Christopher Lee: maybe, because i have to drive more now.  Also, I have to get off soon. left office to a neutral location to reach. Got to get back!
"
"452557","17:13:58 Cynthia Brawley: I have a credit score of 781-ecellent. I am purchasing this location alone. no one else on mortgage."
"452685","17:08:54 do u have an office in scranton,pa: i need to find out if there is an actual physical location in scranton,pa how do i do that
"
"452904","17:07:05 Maria: It will be the primary business location"
"453406","17:02:26 Caroline Burmon: ah. would very much like some outdoor space (roof or yard); location is important; low HOA/taxes; 2BR"
"454409","16:35:32 Nikolas Williams: I just relocated to their other location but they are owned by the same person, and 100% commission.
"
"454491","16:35:32 Nikolas Williams: I just relocated to their other location but they are owned by the same person, and 100% commission.
"
"455300","16:30:27 Nikolas Williams: Like 30k a year, I’m a car salesman and I just moved to a different location, I start there Monday, before that I was worked from May 2018 to August. Before that I worked in plastic manufacturing for a year
"
"458944","15:14:04 You: received to messages today about final review. closing is 9 am Wednesday just need location.  they sent map but, no address was on map
"
"459611","15:03:53 You: Is there a list of authorized companies on your webisite? I can find the location.  It doesn't necessarily need to be a specific zip code if that is the hold up."
"459612","15:06:14 You: I understand, but I have clients I need to schedule meetings with and can plan around this location if I know where it is.  My week's commitments or ""on hold"" until your Signing Services Team can tell me a location
"
"461298","14:29:26 Alisha Addison: No it's a stick built that was a previous location"
"461939","14:20:33 eileen hartgrove: No i like this location so what is the problem?"
"464145","13:24:18 You: The location is my home at 4538 Cathedral Ave NW.  I would like to do it at approx1 pm."
"465753","12:44:54 Elizabeth Morrison: Location—I don’t want to commute too far, as far as the home itself, I just want something simple and small with a little bit of privacy if that is possible.
"
"466364","11:44:29 Aketra Howells: It’s salary. I am paid on the 1st and15th. The bonus depends on the location. I have received bonus yet."
"466369","11:17:49 Robert Fanelli: I am looking to speak with an agent for options of an equity loan versus a mortgage to purchase a new home. I am a previous customer and my loan was paid off for my current house. We are looking to move to another location"
"467367","02:54:06 arik Zaleski: I want to move to a new location and dont want to rent"
"467996","02:36:08 Nathan Isham: Used to build a garage at the location"
"469103","01:23:44 Rachel Berry: We found one that we kind of need to jump on because of the price and location, but I need to know if you finance mobile homes
"
"469194","01:48:02 Chris  Kilkenny: Choosing this location due to it being close to airport and also able to drive there as well"
"472052","23:51:08 Robert D. Gaynier: yes, and I am supposed to close tomorrow morning at 9am but i have no location from Melissa Houts
"
"473620","22:53:43 We are looking. To buy a single home: New location"
"475519","21:43:53 Scott McQuade: We like the location, it's a good size for what we need right now, and the mortgage should be very affordable for us
"
"477243","20:42:16 Scott Borish: the academy is the school location where i work"
"477554","20:14:05 Michael Murphy: I’m looking to purchase a business property. Ive been renting in a location now for four years and found a property that would fit my needs. I was wondering if they had any lending specials for business properties."
"478389","19:44:08 Brad: no, sorry. We found this home and fell in love with the home and location.
"
"481679","	1.	Lessee has the option to buy the property at the following location from Lessor:"
"486867","14:17:48 Gage Cook: Been doing this job for 4 years though, I switched from employee of one to my own business as I took on more franchise locations
"
"487545","13:31:55 Jennifer Modi: I would like to stay at my current home location but if that isn’t possible then i would have to move to whichever home is being purchased"
"487665","13:13:46 leeann salmon: I am looking to buy about 2 hours away from my current location."
"488697","02:57:31 Kayleen Esparza: Not exactly, just a location
"
"489195","02:37:46 Alan Newstead: 10-15 minutes. This is the best location for me"
"489225","03:03:20 Alan Newstead: It’s just a better location right on the Main Street"
"489741","02:02:25 Kyle Thornton: Location.  We want to get out of our current city."
"491818","00:07:43 Richard Pfeiffer: I'vebeen been looking for a little while. Location is nice."
"492553","23:34:49 Trevor Edwards: location? Near where we currently live. looking to upgrade."
"492878","23:31:30 Stephen Tracy: We have a few properties we've identified in a specific location and are in touch with an agent. They're at a beach location near us, so we're planning time for viewings in the next month or so, and our ideal timeline would be to have the property by turn of the New Year and int time for next beach season.
"
"492998","23:26:30 Matthew Fitrer: Is this a pre approval or just a mortgage approval for this one location?"
"494161","22:28:45 Alyssa Ash: The location. It’s not in a big city just in a small quiet town"
"494773","22:04:46 Michael Fannin: My company has many location across the US"
"495000","22:04:46 Michael Fannin: My company has many location across the US"
"495371","22:09:29 Courtney Evans: Currently employed. I’ve been with the company since 2015. Just a different location."
"496028","21:33:47 Leslie Volkmar: Mostly the dual master bathrooms and its location."
"498611","20:27:13 Esther Wilson: they moved location to Long Lake Road, across from a huge cemetary, near I-75
"
"499598","20:17:26 Matthew Stowe: Yeah everything is fine. The location just didn’t work well for my work schedule. My location now is next door to my office. Plus turning it into a rental property is part of my financial planning for the future."
"499981","18:55:06 Bryce Nordstrand: Better location and more space"
"499990","19:01:41 Bryce Nordstrand: It’s bigger than what we have and in a better location as I mentioned earlier"
"500010","18:56:26 Chad Naish: All of our family are now there. THat will be our post military location."
"500829","18:28:39 Angela: We are paid salary with location pay bonus"
"500831","18:30:44 Angela: That is not including location pay bonus."
"500894","18:24:13 You: same location"
"502120","18:03:19 Angela Sharper: As long as the mortgage is affordable, the home is nice and the location is good I can move immediately.
"
"502956","17:24:30 Aaron McDaniel: Size, cost, location
"
"503350","17:08:57 corian jones: Would I be at the screen asking for LIVING SITUATION, HOME INFORMATION, DESIRED LOCATION etc
"
"503607","17:08:57 corian jones: Would I be at the screen asking for LIVING SITUATION, HOME INFORMATION, DESIRED LOCATION etc
"
"504732","16:26:30 Kevin Williams: Ok sounds good. If that is easier for you I am in a good location to talk on the phone"
"506030","15:53:35 Wei Siow: a relatively convenient location for me"
"506628","15:28:55 James Ball: Just getting started. My new job requires that we move to a location closer to the work location and unfortunately there aren’t many rentals in the area."
"508069","14:54:45 Kevin Clark: Our current location used to be a quiet out of the way place close to the beach...sad"
"508746","14:34:42 Stafford Smith: I work in petoskey, but there are also locations in Alanson, Harbor Springs and Charlevoix .
"
"509539","13:51:40 Marco Baran: Perhaps we went too far? Looking to get pre-approved in prep for visiting prospective locations"
"509725","13:46:57 Justin Popplein: We are just trying  to get  a estimate on what we qualify for  or should we wait another year   and the locations on were depends on what we like it will be out side of Memphis tn  more in the county"
"513278","01:58:52 Lance Roberts: The house is a two unit location on the same lot, main house and a 1BR/1BA that we'd likely rent out for ~$2000/mo
"
"518247","22:52:35 You: About to pick our closing location, date, time. Does the location have to be in the same state as the property? We travel alot...
"
"520165","21:57:31 Alan Brock: good price on a house in a good location. I want it for my grown kids primary residence. ; not renting, FHA Kiddie Condo sort of thing-that was not an option in your question and answer menus
"
"522469","20:58:33 Divakar: like the lot location"
"523118","21:12:08 You: Apologies, I was meaning, if this particular home doesn't work out or we find something that suites us better in a different state would this same loan process/amount be available to a different location?
"
"523386","21:12:08 You: Apologies, I was meaning, if this particular home doesn't work out or we find something that suites us better in a different state would this same loan process/amount be available to a different location?
"
"524230","20:11:21 Marianna Amos: I changed the location and phone number already"
"528327","18:32:01 Ransom McClain: It's in a good location in Winston, close to my place of employment and my partner's school. Small enough to feel cozy but large enough to live in comfortably. Reasonable price, I believe.
"
"529387","17:59:57 Arvin Williamson: Have found a house that we are interested in. Location in Belle Fourche SD"
"531385","17:33:55 James Grant: West monroe, la. She will transfer to the new location
"
"532038","17:06:48 Christopher goins: Close to my job and I like the location"
"532869","16:49:48 GRANT JOHNSTONE: we are selling our current home (under contract as of yesterday) and have a contingent offer in on another location"
"535777","15:53:07 Kristin Dorow: Location and style."
"537432","15:16:33 Nicole: same link that takes me to this chat location"
"537472","15:16:33 Nicole: same link that takes me to this chat location"
"537653","15:09:46 You: Hi Cleopatra, we still do not know where our closing location is for our closing today. They have it set for New Braunfels, but we told them originally and last night when they told us the location that we cannot do New Braunfels as I won't have the ability in my schedule to travel there. We need the location to be San Marcos and I don't know yet if they've been able to do that
"
"537657","15:16:29 You: Yes, or you can call my husband at 830-285-7995. We need to know by 11AM EST so my husband has the time to travel to the location!
"
"537794","15:04:17 Don curley: Good, having issues with service at my location
"
"537829","15:07:52 Andy Palmeter: There’s two houses across the street from me that are $250k+. Great location."
"537856","15:04:17 Don curley: Good, having issues with service at my location
"
"538009","15:36:46 Darren Smith: Location, Size, One level living, Backyard, etc.... haha
"
"538487","14:57:09 KEITH ROMER: looking to move to new location"
"539491","14:30:21 Wesley Flantos: Nothing too big, we’re thinking 3 bed 2 bath MAX but we’re okay with smaller. Definitely in a safe location and something with a yard for our dogs.
"
"539991","14:35:07 Chelsea: We've been in our neighborhood for over 6 years and it's just perfect for us. It's very walkable, it's older as I mentioned so it's got great charm and lots of trees. We're just a block or so from the river and we've just grown very attached to the location. It's close to everything! I'm really not even sure how much to tell you we are looking for. A couple of things on that subject. I've spoken to our current landlord and he's disclosed that he'd like to sell the home we're in for around $220k. I've done a quick search of the others in the area that we've liked as well and it seems that $200k-$220k is sort of standard? Although, I'm not sure how much trust to put in those websites so I'm not sure. As a first time buyer, though, I'm not sure what kind of stipulations there are for loans that I would quality for. For example, I have the better credit between my spouse and I, but my income is a bit lower.
"
"539992","14:41:31 Chelsea: That was actually a question that I had about the process. As I mentioned my landlord told us what he'd like to sell the house for, and based on the location and his knowledge he is likely going to be able to sell it for that much. But based on the condition of the home, if the appraisal came in lower than he was looking to sell for, is that something that the mortgage lender discusses with the seller? Ideally, we will both be on the loan. However, we do not have any opposition to only one of us being on it so long as we are able to purchase a home, if it comes down to one of us having a better chance than the other at being approved, if that makes sense.
"
"540590","14:03:22 You: Hi, was told on message board I need to confirm my closing date & location.  Can you help me?
"
"540945","13:57:41 Steven D Carroll: Have been rebuilding my credit after my significant other died April 2016. Believe my credit is a hinderence at this time. Not looking at a much larger home just one outside of my current location."
"540947","14:01:12 Steven D Carroll: I was, in effect married for 18 years and lost my partner's income. It's only 100-150 miles from current location.
"
"542122","13:33:54 Nastazia Stallman: Lack of interest on what was on the market due to location and listing value/ condition of home"
"547014","02:17:03 Jude Brown: at this same location?"
"547766","01:47:44 James Burt: A new home in the same city, just a different location.
"
"548143","01:42:20 yrisol garcia: not sure yet sinking spring, wernersville or birdsboro.   One of these three locations
"
"551732","00:08:11 Nicole Konczal: Location is probably one of the most important things to us, since we plan to start a family in the next few years.
"
"553431","23:17:51 Ellen Funesti: I just really like the location and I looked at other sites from this builder - same design, but close to me and I grew up in Livingston, NJ
"
"554552","22:43:06 BRIAN JONES: current location in DFW is a tough buyers market and has been for a few years now"
"555437","22:18:07 You: Do we have a location for closing?"
"556433","21:55:53 Gloria Gonzalez: West Phoenix, Glendale area. But im pretty flexable on location.
"
"557984","21:18:51 James Burt: Upgrade slightly but just move to a better location."
"558068","22:07:28 Michele: and we are planning to move within 7 years - not staying in this location"
"558340","21:03:29 You: We just want to ensure we get the payment location down for our bill pay service"
"558668","20:48:03 You: We are currently at two separate locations and he had spoken to Drake Fillipis who is our current contact person but he had to leave the phone conversation due to an emergency with another client."
"558909","20:48:03 You: We are currently at two separate locations and he had spoken to Drake Fillipis who is our current contact person but he had to leave the phone conversation due to an emergency with another client."
"561558","20:37:23 Samantha Kitchen: Just by its location, I’d say 100K
"
"561821","19:51:01 Eric Barber: We have found homes in poplar grove, il, mchenry, il and other locations as well.
"
"562497","19:59:06 Melvin Ray: Location&size"
"564172","19:03:30 Dereck Ramos: I’m checking the home out later today and the size, location and prices are exactly what I’m looking for.
"
"569730","17:17:43 keros bennett: I like the location. It's pretty close to my work and it has everything around there that you would need. And the pools pretty cool haha"
"572735","16:30:07 Stephanie Devine: Have been thinknig about buying for awhile, but found this house pretty quickly once i started a formal search. It's a beautiful location that's very convenient for my work, and has lots of space and great layout. The owners have kept it in immaculate shape
"
"573182","16:30:07 Stephanie Devine: Have been thinknig about buying for awhile, but found this house pretty quickly once i started a formal search. It's a beautiful location that's very convenient for my work, and has lots of space and great layout. The owners have kept it in immaculate shape
"
"577374","14:36:46 You: Hi, I was wondering if it is possible to adjust my closing date and location, or if I am locked in now that it is scheduled?
"
